rank,class,team,seed,conf,wins_losses,pythagorean_rating,adj_offensive_efficiency,adj_offensive_efficiency_seed,adj_defensive_efficiency,adj_defensive_efficiency_seed,adj_tempo,adj_tempo_seed,luck,luck_seed,sos_pythagorean_rating,sos_pythagorean_seed,opposing_offenses,opposing_offenses_seed,opposing_defenses,opposing_defenses_seed,ncsos_pythagorean_rating,ncsos_pythagorean_seed
1,,Kentucky,1,SEC,38-2,.9690,121.3,2,89.9,8,66.2,161,+.033,84,.6887,28,104.7,39,97.7,11,.4846,177
2,,Ohio St.,2,B10,31-8,.9545,116.9,5,89.7,7,68.2,72,-.049,282,.7273,5,106.6,4,97.9,19,.4226,244
3,,Michigan St.,1,B10,29-8,.9478,112.1,21,87.1,2,65.1,218,-.027,243,.7337,2,106.7,3,97.7,10,.4768,185
4,,Kansas,2,B12,32-7,.9423,111.1,28,87.1,3,67.0,121,+.028,98,.7442,1,106.5,8,97.0,3,.5987,61
5,,Syracuse,1,BE,34-3,.9363,116.0,7,91.8,17,65.2,209,+.061,36,.6940,25,105.1,28,97.9,16,.4547,210
6,,North Carolina,1,ACC,32-6,.9294,114.0,13,91.1,14,72.2,10,+.017,131,.6709,35,105.0,31,98.7,41,.5674,85
7,,Wisconsin,4,B10,26-10,.9208,112.1,20,90.6,12,58.5,345,-.017,214,.7039,12,105.5,17,97.8,13,.4025,271
8,,Missouri,2,B12,30-5,.9179,123.9,1,100.5,146,66.2,163,+.017,127,.6194,60,103.4,67,99.1,58,.3308,322
9,,Memphis,8,CUSA,26-9,.9075,111.7,23,91.6,16,68.3,71,-.063,306,.6259,58,103.0,75,98.5,34,.6566,27
10,,Indiana,4,B10,27-9,.9072,118.7,4,97.3,84,67.3,108,+.007,153,.7018,16,105.5,18,97.9,17,.4019,273
11,,Florida,7,SEC,26-11,.9058,118.8,3,97.6,90,64.8,235,-.044,269,.6905,27,103.8,56,96.8,1,.4961,156
12,,Vanderbilt,5,SEC,25-11,.9046,114.2,11,93.9,32,65.6,193,-.048,279,.7065,9,105.9,10,98.1,22,.5602,90
13,,Wichita St.,5,MVC,27-6,.9030,113.8,14,93.7,31,66.8,126,-.016,209,.5863,81,102.8,84,99.8,91,.5606,89
14,,Louisville,4,BE,30-10,.9028,103.9,116,85.6,1,66.9,123,+.031,89,.7327,3,106.5,6,97.6,6,.5040,150
15,,Baylor,3,B12,30-8,.9024,115.2,8,95.0,46,66.6,142,+.058,41,.6990,20,105.6,13,98.1,25,.3898,286
16,,Georgetown,3,BE,24-9,.8989,109.5,38,90.5,10,63.0,300,-.014,204,.6994,19,105.1,27,97.7,9,.5027,152
17,,Saint Louis,9,A10,26-8,.8982,109.4,39,90.5,11,62.7,307,-.055,296,.6080,67,103.1,72,99.2,66,.4318,235
18,,Marquette,3,BE,27-8,.8932,108.6,52,90.3,9,71.4,16,+.042,67,.7028,14,104.7,38,97.2,4,.4938,163
19,,New Mexico,5,MWC,28-7,.8715,108.9,46,92.2,20,66.3,152,+.003,165,.5401,123,101.4,154,100.0,104,.3779,293
20,,Gonzaga,7,WCC,26-7,.8715,111.3,26,94.3,39,65.5,199,-.019,218,.5364,126,102.8,85,101.5,166,.5121,141
