rank,class,team,seed,conf,wins_losses,pythagorean_rating,adj_offensive_efficiency,adj_offensive_efficiency_seed,adj_defensive_efficiency,adj_defensive_efficiency_seed,adj_tempo,adj_tempo_seed,luck,luck_seed,sos_pythagorean_rating,sos_pythagorean_seed,opposing_offenses,opposing_offenses_seed,opposing_defenses,opposing_defenses_seed,ncsos_pythagorean_rating,ncsos_pythagorean_seed
1,,Pittsburgh,2,BE,28-5,.9542,113.9,9,87.5,2,66.6,254,-.022,222,.6628,52,104.1,67,98.1,45,.3198,302
2,,Kentucky,1,SEC,32-4,.9507,113.8,10,88.0,3,69.6,114,+.051,53,.7266,11,106.6,3,97.9,34,.6002,64
3,,Kansas,2,B12,30-8,.9466,113.1,15,88.1,4,73.1,21,-.017,208,.7564,2,107.1,2,97.1,11,.6223,54
4,,Arizona,1,P10,28-4,.9391,114.8,7,90.5,11,74.1,10,-.006,180,.7136,19,106.1,8,98.0,39,.7035,23
5,,Syracuse,3,BE,30-5,.9232,113.4,14,91.4,14,72.1,41,+.083,15,.7281,9,105.1,34,96.5,5,.4098,241
6,,Illinois,4,B10,25-7,.9223,111.4,23,89.9,8,68.9,141,-.029,242,.6573,55,104.1,65,98.4,51,.3825,262
7,,Duke,3,ACC,26-7,.9184,113.8,11,92.2,16,71.8,48,-.030,245,.6830,37,105.5,21,98.7,62,.4453,207
8,,Texas,1,B12,26-7,.9177,120.2,1,97.4,80,70.9,67,-.009,187,.7308,8,105.5,19,96.8,7,.5661,98
9,,Oklahoma,1,B12,27-7,.9106,109.3,33,89.4,7,64.1,300,+.034,82,.6980,29,105.2,28,97.8,31,.4446,208
10,,Marquette,3,CUSA,27-6,.8960,119.7,2,99.3,119,67.2,224,+.070,29,.6720,46,104.3,58,98.0,40,.4682,178
11,,Mississippi St.,5,SEC,21-10,.8947,105.1,92,87.2,1,65.7,275,-.060,290,.6907,33,105.1,36,98.0,38,.4419,211
12,,Michigan St.,7,B10,22-13,.8942,108.5,50,90.1,9,64.7,292,-.050,278,.7279,10,105.7,15,97.1,12,.5920,76
13,,Wisconsin,5,B10,24-8,.8941,111.6,22,92.7,21,63.1,311,-.024,226,.6509,62,104.7,52,99.2,80,.4701,173
14,,Maryland,6,ACC,21-10,.8917,109.0,38,90.7,12,73.1,20,-.078,302,.6665,50,104.8,50,98.7,61,.3640,280
15,,Florida,2,SEC,25-8,.8902,114.4,8,95.4,50,66.6,253,+.009,140,.6769,41,104.3,59,97.8,28,.4731,171
16,,Louisville,4,CUSA,25-7,.8897,113.8,13,94.9,39,74.0,13,-.028,236,.6545,60,103.7,79,98.1,43,.6194,55
17,,Saint Joseph's,7,A10,23-7,.8886,107.0,62,89.3,6,65.6,278,-.050,279,.6208,77,103.9,74,99.6,89,.6561,33
18,,Connecticut,5,BE,23-10,.8849,110.5,24,92.5,19,72.5,32,+.004,154,.7060,24,106.2,7,98.4,52,.4245,228
19,,Georgia,,SEC,19-8,.8814,118.1,3,99.2,118,69.2,131,+.012,135,.7798,1,107.2,1,96.1,2,.7477,15
