rank,class,team,seed,conf,wins_losses,pythagorean_rating,adj_offensive_efficiency,adj_offensive_efficiency_seed,adj_defensive_efficiency,adj_defensive_efficiency_seed,adj_tempo,adj_tempo_seed,luck,luck_seed,sos_pythagorean_rating,sos_pythagorean_seed,opposing_offenses,opposing_offenses_seed,opposing_defenses,opposing_defenses_seed,ncsos_pythagorean_rating,ncsos_pythagorean_seed
1,tourney,Kentucky,1,SEC,34-0,.9787,119.7,5,85.8,2,63.4,251,+.055,55,.6679,41,105.3,50,99.1,33,.5662,97
2,tourney,Arizona,2,P12,31-3,.9674,116.0,11,86.4,3,66.7,78,-.028,250,.6482,59,105.1,63,99.6,48,.5043,167
3,tourney,Wisconsin,1,B10,31-3,.9615,124.7,1,94.3,30,58.7,347,+.009,165,.7039,18,106.0,31,98.3,15,.6288,34
4,tourney,Virginia,2,ACC,29-3,.9587,112.2,27,85.4,1,58.2,349,+.032,104,.6758,35,105.6,42,99.0,31,.5042,168
5,tourney,Villanova,1,BE,32-2,.9571,120.8,4,92.2,13,64.5,181,+.044,73,.6780,33,105.2,60,98.6,17,.5111,160
6,tourney,Gonzaga,2,WCC,32-2,.9440,119.4,6,93.4,20,65.1,153,+.013,152,.5941,83,104.7,74,101.3,113,.6052,46
7,tourney,Duke,1,ACC,29-4,.9395,122.0,3,96.1,57,66.2,103,+.067,41,.7070,16,107.1,9,99.2,36,.5507,111
8,tourney,Utah,5,P12,24-8,.9275,113.0,18,90.6,8,61.2,322,-.056,307,.6591,48,105.5,45,99.6,47,.5205,151
9,tourney,Oklahoma,3,B12,22-10,.9150,109.3,50,88.9,5,67.6,45,-.046,288,.7437,3,107.9,3,98.3,14,.5454,120
10,tourney,Notre Dame,3,ACC,29-5,.9127,122.2,2,99.7,112,64.1,205,+.064,45,.6037,79,104.3,82,100.6,92,.2416,347
11,tourney,Kansas,2,B12,26-8,.9111,110.8,37,90.5,7,67.4,55,+.079,24,.7946,1,108.5,1,96.4,1,.7299,11
12,tourney,Northern Iowa,5,MVC,30-3,.9080,113.8,15,93.2,16,58.5,348,+.010,157,.5139,138,102.0,172,101.6,127,.5171,154
13,tourney,Iowa St.,3,B12,25-8,.9047,118.9,7,97.7,82,69.6,15,+.023,131,.7319,7,106.4,20,97.5,5,.4610,224
14,tourney,Wichita St.,7,MVC,28-4,.9044,113.0,20,92.9,15,62.1,298,+.018,138,.5442,116,102.0,177,100.4,86,.5950,65
15,tourney,Baylor,3,B12,24-9,.9038,114.8,13,94.5,33,62.2,296,-.018,225,.7356,6,106.4,18,97.4,3,.4988,173
16,tourney,North Carolina,4,ACC,24-11,.9019,115.3,12,95.0,45,70.0,10,-.034,267,.7663,2,108.1,2,97.5,6,.6948,15
17,tourney,Michigan St.,7,B10,23-11,.8786,114.1,14,96.1,53,63.7,235,-.053,300,.6913,24,107.1,8,99.8,61,.5027,170
18,tourney,Louisville,4,ACC,24-8,.8756,105.9,95,89.4,6,65.5,136,+.027,121,.6869,27,106.2,24,99.2,37,.4520,238
19,tourney,SMU,6,Amer,27-6,.8734,112.3,24,94.9,43,63.8,226,+.014,147,.5771,92,103.3,105,100.5,87,.5614,102
20,tourney,Texas,11,B12,20-13,.8725,110.3,42,93.3,19,62.3,294,-.071,325,.7153,13,106.2,27,98.0,10,.4779,201
21,tourney,Ohio St.,10,B10,23-10,.8680,111.6,29,94.7,40,66.4,97,-.051,298,.6205,72,105.1,61,100.7,97,.3409,329
22,tourney,Georgetown,4,BE,21-10,.8670,110.3,41,93.7,25,64.4,186,-.002,188,.7230,11,107.6,4,99.0,27,.5912,73
23,tourney,Butler,6,BE,22-10,.8624,107.5,67,91.7,10,63.8,231,-.014,218,.6833,30,107.0,10,100.0,70,.4921,181
24,tourney,Iowa,7,B10,21-11,.8595,111.1,35,94.9,42,64.3,198,-.003,191,.6671,42,105.5,44,99.3,41,.4741,204
25,tourney,West Virginia,5,B12,23-9,.8539,111.2,33,95.4,47,68.7,26,+.050,63,.7073,15,106.3,22,98.4,16,.4364,256
26,tourney,Xavier,6,BE,21-13,.8518,111.9,28,96.1,55,65.7,128,-.063,317,.7252,10,106.7,13,98.0,11,.5499,112
